[NX Daemon Server] - 2024-02-27T13:22:02.302Z - Started listening on: /home/benjaminj/Workspace/linthtml/linthtml/node_modules/.cache/nx/d/d.sock
[NX Daemon Server] - 2024-02-27T13:22:02.356Z - [WATCHER]: Subscribed to changes within: /home/benjaminj/Workspace/linthtml/linthtml
[NX Daemon Server] - 2024-02-27T13:22:02.411Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.464Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.516Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.553Z - [REQUEST]: Updated file-hasher based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-02-27T13:22:02.605Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.657Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.710Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.736Z - [REQUEST]: Updated file-hasher based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-02-27T13:22:02.789Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.841Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.894Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.946Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:02.998Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.051Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.103Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.155Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.209Z - [REQUEST]: Updated file-hasher based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-02-27T13:22:03.229Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.282Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.334Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.386Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.439Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.491Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.543Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.596Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.648Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.700Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.753Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.805Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.857Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.910Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:03.962Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.014Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.048Z - [REQUEST]: Updated file-hasher based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-02-27T13:22:04.100Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.152Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.206Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.258Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.311Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.363Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.416Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.468Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.520Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.573Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.625Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.678Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.730Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.782Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.834Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.887Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.939Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:04.992Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.044Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.096Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.149Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.201Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.254Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.306Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.358Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.411Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.463Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.515Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.567Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.620Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.672Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.718Z - [REQUEST]: Updated file-hasher based on watched changes, recomputing project graph...
[NX Daemon Server] - 2024-02-27T13:22:05.771Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.823Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.875Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.928Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:05.980Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.032Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.085Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.137Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.189Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.241Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.294Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.346Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.399Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.451Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.503Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.556Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.608Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.660Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.713Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.766Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.818Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.870Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.922Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:06.975Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:07.027Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:07.079Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:07.131Z - [WATCHER]: .nx/cache/d/daemon.log was modified
[NX Daemon Server] - 2024-02-27T13:22:07.184Z - [WATCHER]: .nx/cache/d/daemon.log was modified
